# TTS読み替え辞書（タブ区切り: 元表記→読み替え）
# 統計用語
幾何平均	きか平均
四分位数	しぶんいすう
四分位範囲	しぶんい範囲
第1四分位	だいいちしぶんい
第2四分位	だいにしぶんい
第3四分位	だいさんしぶんい
第1四分位数	だいいちしぶんいすう
第2四分位数	だいにしぶんいすう
第3四分位数	だいさんしぶんいすう
外れ値	はずれち
平均値	へいきんち
中央値	ちゅうおうち
最大値	さいだいち
最小値	さいしょうち
最頻値	さいひんち
期待値	きたいち
偏差値	へんさち
数値	すうち
代表値	だいひょうち
異常値	いじょうち
欠損値	けっそんち
基準値	きじゅんち
閾値	しきいち
真値	しんち
観測値	かんそくち
予測値	よそくち
理論値	りろんち
実測値	じっそくち
絶対値	ぜったいち
近似値	きんじち
母分散	ぼぶんさん
母集団	ぼしゅうだん
母平均	ぼへいきん
母標準偏差	ぼひょうじゅんへんさ
母比率	ぼひりつ
標本分散	ひょうほんぶんさん
不偏分散	ふへんぶんさん
共分散	きょうぶんさん
分散分析	ぶんさんぶんせき
# 単位
cm	センチメートル
kg	キログラム
km	キロメートル
mm	ミリメートル
# 一般用語（文脈依存）
確かに	たしかに
確かな	たしかな
確かで	たしかで
確かだ	たしかだ
matplotlib	マットプロットリブ
plt	ピーエルティー
colab	コラボ
Colab	コラボ
細分化	さいぶんか
Plan	プラン
頭文字	かしらもじ
初頭	しょとう
溺死	できし
一目	ひとめ
貸方	かしかた
借方	かりかた
期首	キシュ
Audit	オーディット
図で	ずで
四段階	よんだんかい
網羅性	もうらせい
棚卸	たなおろし
真正性	しんせいせい
行	ぎょう
月別	つきべつ
＝	イコール
値フィールド	あたいフィールド
借入	かりいれ
利率 	りりつ
=	イコール
×	かける
元本	がんぽん
重回帰	じゅうかいき
最小二乗法	さいしょうじじょうほう
切片	せっぺん
今日	きょう
plt	ピーエルティー
numpy	ナンパイ
pyplot	パイプロット
matplotlib	マットプロットリブ
scikit-learn	サイキットラーン
R²	アールスクエア
Matplotlib	マットプロットリブ
Word	ワード
SWOT	スウォット
行う	おこなう
coef	コえふ
xlsx	えっくすえるえすえる
SciPy	サイパイ
shape	シェイプ
isnull	イズヌル
sum()	サム
